Rank,Pos,Number,Inactive,Rookie,Name,Team,GP,G,A,PTS,PM,PIM,PPG
1,C,23,,,"Rossi, Marco",OTT,56,39,81,120,69,40,7
2,LW,91,,,"Perfetti, Cole",SAG,61,37,74,111,49,16,6
3,C,11,,,"McMichael, Connor",LDN,52,47,55,102,32,26,16
4,C,26,,,"Tomasino, Philip",OSH,62,40,60,100,7,32,8
5,RW,34,,,"Kaliyev, Arthur",HAM,57,44,54,98,-7,28,16
6,LW,17,,,"Gogolev, Pavel",GUE,63,45,51,96,24,66,11
7,RW,24,,,"Garreffa, Joseph",OTT,52,36,54,90,48,2,10
8,LW,22,,,"Quinn, Jack",OTT,62,52,37,89,48,32,15
9,LW,9,,,"Keating, Austen",OTT,58,32,57,89,58,10,11
10,LW,16,,,"Robertson, Nick",PBO,46,55,31,86,29,40,13
11,C,44,,,"Thomas, Akil",PBO,49,24,60,84,19,56,6
12,C,13,,,"Neumann, Brett",OSH,62,45,38,83,1,20,14
13,C,8,,,"Hillis, Cam",GUE,62,24,59,83,28,43,1
14,C,55,,,"Byfield, Quinton",SBY,45,32,50,82,26,44,6
15,D,2,,,"Hoefenmayer, Noel",OTT,58,26,56,82,52,37,8
16,RW,71,,,"Foerster, Tyson",BAR,62,36,44,80,-17,53,18
17,RW,49,,,"Coskey, Cole",SAG,62,34,46,80,30,41,11
18,LW,91,,,"Oksentyuk, Evgeniy",FLNT,58,33,45,78,13,51,5
19,RW,27,,,"Josling, Sean",SAR,60,32,46,78,1,58,7
20,C,13,,,"Damiani, Riley",KIT,61,28,50,78,21,32,8
21,LW,77,,,"Golod, Maxim",ER,63,25,53,78,9,34,7
22,C,17,,,"Hoelscher, Mitchell",OTT,62,34,42,76,52,51,6
23,D,28,,,"Merkley, Ryan",LDN,60,15,61,76,20,48,8
24,LW,96,,,"Giroux, Damien",SAG,61,44,31,75,34,22,11
25,C,19,,,"Der-Arguchintsev, Semyon",PBO,55,12,63,75,11,23,3
26,C,29,,,"Yetman, Chad",ER,61,43,31,74,10,8,10
27,C,71,,,"Levin, David",SBY,57,27,46,73,6,39,7
28,LW,92,,,"Murray, Blake",SBY,63,35,37,72,9,58,8
29,C,11,,,"Schwindt, Cole",MISS,57,28,43,71,11,31,5
30,RW,90,,,"Hawel, Liam",KIT,54,23,48,71,28,51,6
31,RW,44,,,"Perreault, Jacob",SAR,57,39,31,70,-34,40,15
32,C,53,,,"Dellandrea, Ty",FLNT,47,32,38,70,-1,33,9
33,LW,34,,,"Popov, Sergey",OS,61,19,51,70,19,30,6
34,D,20,,,"Chisholm, Declan",PBO,59,13,56,69,17,33,6
35,LW,18,,,"Foudy, Liam",LDN,45,28,40,68,41,24,5
36,C,19,,,"McGregor, Ryan",SAR,52,27,41,68,-10,10,6
37,LW,11,,,"Afanasyev, Egor",WSR,62,31,36,67,14,40,10
38,C,7,,,"Angle, Tyler",WSR,62,29,38,67,13,38,7
39,C,61,,,"McShane, Allan",OSH,62,23,44,67,-26,12,8
40,C,51,,*,"Wright, Shane",KGN,58,39,27,66,-6,10,10
41,LW,44,,,"Gruden, Jonathan",LDN,59,30,36,66,20,23,8
42,C,71,,,"Tullio, Ty",OSH,62,27,39,66,-6,49,8
43,LW,18,,,"Trott, Zack",SOO,62,25,41,66,10,36,6
44,C,11,,,"Gallant, Zach",PBO,59,33,32,65,-2,89,17
45,C,88,,,"Meireles, Greg",KIT,48,31,34,65,19,34,10
46,LW,24,,,"Chenier, Brad",SBY,59,27,38,65,-18,71,12
47,D,33,,,"Lyle, Brady",OS,62,22,43,65,25,28,10
48,LW,14,,,"Hardie, James",MISS,59,34,29,63,9,16,11
49,LW,12,,,"Pekar, Matej",SBY,51,28,35,63,16,60,4
50,RW,9,,,"Lodnia, Ivan",NIAG,41,27,35,62,-1,22,4
51,D,27,,,"McCourt, Riley",FLNT,63,18,44,62,-4,44,6
52,RW,14,,,"Evangelista, Luke",LDN,62,23,38,61,15,12,0
53,C,39,,,"Rees, Jamieson",SAR,39,18,43,61,4,47,4
54,C,28,,,"Moncada, Luke",NB,62,34,26,60,-4,45,2
55,C,39,,,"Douglas, Curtis",WSR,62,30,30,60,13,59,5
56,D,72,,,"Regula, Alec",LDN,56,27,33,60,39,55,15
57,RW,93,,,"Yantsis, Jonathan",KIT,63,39,20,59,11,85,12
58,C,19,,,"Kirwin, Barret",OS,62,30,29,59,23,37,7
59,C,23,,,"Kerins, Rory",SOO,64,30,29,59,2,30,4
60,RW,74,,,"Wisdom, Zayde",KGN,62,29,30,59,-7,55,8
61,C,15,,,"Struthers, Matthew",OS,62,22,37,59,-21,45,8
62,RW,16,,,"Uba, Eric",GUE,63,29,29,58,22,61,4
63,LW,15,,,"Castleman, Oliver",NIAG,62,22,36,58,-15,36,12
64,C,6,,,"Suzuki, Ryan",SAG,44,18,40,58,8,24,4
65,C,28,,,"Morgan, Cody",FLNT,63,15,43,58,-3,4,4
66,RW,21,,,"Coe, Brandon",NB,60,25,32,57,-24,39,4
67,RW,14,,,"Busdeker, DJ",SAG,62,22,35,57,46,28,2
68,D,48,,,"Harley, Thomas",MISS,59,18,39,57,8,33,9
69,C,21,,,"Jenik, Jan",HAM,27,22,34,56,12,30,3
70,RW,37,,,"Roth, Ryan",SAR,63,22,34,56,-19,16,6
71,D,2,,,"Tucker, Tyler",FLNT,55,17,39,56,11,87,3
72,RW,7,,,"Wismer, Jack",FLNT,62,27,27,54,6,12,4
73,RW,12,,,"Durham, Jake",FLNT,63,22,32,54,0,42,6
74,D,8,,,"Corcoran, Connor",WSR,62,19,35,54,11,50,8
75,LW,12,,,"Kartye, Tye",SOO,64,25,28,53,14,28,5
76,C,82,,,"Willms, Jason",LDN,60,22,31,53,20,53,9
77,C,27,,,"Dudas, Aidan",OS,48,15,38,53,8,28,3
78,D,11,,,"Constantinou, Billy",SOO,60,9,44,53,-15,49,2
79,RW,26,,,"Pearson, Kaleb",OS,62,28,24,52,22,36,5
80,C,14,,,"Bulitka, Shane",NB,62,23,29,52,1,35,7
81,C,9,,,"Washkurak, Keean",MISS,49,22,30,52,-9,62,8
82,D,7,,,"Bergkvist, Axel",KIT,62,9,43,52,21,23,3
83,RW,24,,,"MacKay, Cole",SOO,64,25,26,51,5,42,9
84,LW,29,,,"D'Amico, Daniel",WSR,61,23,27,50,5,46,6
85,C,26,,,"Pytlik, Jaromir",SOO,56,22,28,50,5,36,8
86,C,14,,,"Carson, Macauley",SBY,63,22,28,50,3,71,6
87,LW,14,,,"Kirk, Liam",PBO,47,21,29,50,17,25,7
88,D,9,,,"Calisti, Robert",SOO,64,18,32,50,-14,64,9
89,C,84,,,"Bertuzzi, Tag",HAM,57,25,22,47,-29,23,8
90,RW,11,,,"Cardwell, Ethan",BAR,63,23,24,47,-2,41,5
91,RW,23,,,"Brown, Aidan",BAR,57,20,27,47,1,77,4
92,RW,14,,,"Noel, Serron",KIT,48,18,29,47,-7,36,4
93,D,4,,,"Drysdale, Jamie",ER,49,9,38,47,9,24,3
94,RW,71,,,"Sopa, Kyen",ER,52,19,27,46,-16,50,6
95,LW,18,,,"Robinson, Owen",SBY,63,15,31,46,2,16,3
96,C,15,,,"MacLean, Kyle",OSH,51,13,33,46,-1,64,4
97,C,9,,,"Morrison, Logan",HAM,59,23,22,45,-33,18,9
98,C,21,,,"Swankler, Austen",ER,59,18,27,45,9,61,3
99,RW,26,,,"Purboo, Cole",WSR,59,20,24,44,2,16,5
100,LW,3,,,"Whittaker, Richard",MISS,57,19,25,44,13,78,2
101,C,41,,,"Vierling, Evan",BAR,43,14,30,44,-9,12,1
102,D,12,,,"Millman, Mason",SAG,58,13,31,44,31,61,2
103,LW,17,,,"Petizian, Mike",KIT,63,21,22,43,20,36,1
104,RW,12,,,"Stevenson, Keegan",GUE,63,21,22,43,4,27,8
105,RW,10,,,"Roberts, Connor",FLNT,61,18,25,43,-3,28,2
106,C,14,,,"Frasca, Jordan",KGN,58,15,28,43,-27,45,3
107,C,93,,,"Foudy, Jean-Luc",WSR,59,15,28,43,-7,12,3
108,RW,20,,,"Peca, Jaden",SOO,63,15,28,43,-10,69,3
109,C,23,,*,"McTavish, Mason",PBO,57,29,13,42,-4,31,5
110,LW,13,,,"Cuylle, Will",WSR,62,22,20,42,-2,37,7
111,RW,27,,,"Russell, Mitchell",NB,51,21,21,42,-29,37,4
112,RW,25,,*,"McDonnell, Declan",KIT,63,21,21,42,8,28,6
113,RW,14,,,"Fowler, Hayden",ER,52,20,22,42,-11,78,8
114,C,22,,,"McMaster, Adam",OS,60,19,23,42,-7,2,4
115,LW,16,,,"Tabak, Anthony",BAR,67,11,31,42,-13,49,0
116,C,71,,*,"Pinelli, Francesco",KIT,59,18,23,41,15,18,5
117,D,44,,,"Staios, Nathan",HAM,60,6,35,41,-20,59,3
118,LW,19,,,"Carroll, Joe",SOO,52,25,15,40,3,33,7
119,RW,15,,,"Martin, Calvin",MISS,56,19,21,40,-7,23,2
120,LW,40,,,"Stranges, Antonio",LDN,61,19,21,40,-2,16,2
121,LW,12,,,"Canade, Nicholas",MISS,51,17,23,40,15,60,2
122,C,20,,,"Jenkins, Blade",SAG,47,16,24,40,12,18,3
123,LW,71,,*,"Dickinson, Tanner",SOO,64,9,31,40,-12,22,2
124,D,2,,,"Solovyov, Ilya",SAG,53,7,33,40,43,35,1
125,LW,55,,,"Valade, Reid",KIT,52,18,21,39,13,57,1
126,LW,14,,,"Guy, Brayden",SAR,59,16,23,39,-31,34,7
127,D,43,,,"Henault, Louka",WSR,62,1,38,39,11,38,0
128,D,55,,*,"Clarke, Brandt",BAR,57,6,32,38,-6,38,0
129,C,44,,*,"Harrison, Brett",OSH,58,21,16,37,-21,8,7
130,C,27,,,"Nelson, Josh",BAR,65,16,21,37,-1,6,0
131,LW,22,,,"Bignell, Luke",BAR,54,14,23,37,-1,68,4
132,D,21,,,"O'Rourke, Ryan",SOO,54,7,30,37,16,79,4
133,D,22,,,"Brahaney, Jakob",KGN,60,4,33,37,-28,57,2
134,RW,61,,,"Boka, Luke",WSR,59,17,19,36,15,33,1
135,LW,27,,,"Katic, Danny",SAG,62,13,23,36,7,63,1
136,C,14,,,"Ralph, Cedric",GUE,46,19,16,35,-7,11,7
137,C,92,,,"Antropov, Danil",SAG,61,12,23,35,-9,32,2
138,RW,19,,,"Piercey, Riley",FLNT,62,17,17,34,-8,43,3
139,LW,81,,*,"Pinchuk, Vitali",KGN,54,13,21,34,-12,12,2
140,RW,61,,*,"Stillman, Chase",SBY,58,13,21,34,0,63,0
141,C,17,,,"Dunkley, Nathan",LDN,62,13,21,34,-3,53,1
142,D,5,,,"Chayka, Daniil",GUE,56,11,23,34,9,18,2
143,LW,78,,*,"Othmann, Brennan",FLNT,55,17,16,33,3,36,3
144,C,73,,,"Uberti, Jake",NIAG,57,17,16,33,-33,40,6
145,RW,51,,,"Gilhula, Owen",SBY,51,14,19,33,9,26,2
146,RW,42,,,"Goldowski, Jake",SAG,62,14,19,33,7,22,2
147,C,28,,,"Grondin, Max",PBO,60,13,20,33,15,79,0
148,D,18,,,"Kolyachonok, Vladislav",FLNT,53,12,21,33,19,22,0
149,C,94,,,"Prueter, Aidan",MISS,55,12,21,33,-8,45,3
150,LW,8,,*,"Chromiak, Martin",KGN,28,11,22,33,0,2,4
151,D,2,,,"Robertson, Carter",OS,62,11,22,33,5,71,6
152,D,66,,,"Gross, Nico",OSH,53,9,24,33,-3,62,5
153,D,72,,,"Allensen, Nathan",BAR,55,8,25,33,5,56,2
154,LW,81,,,"Van Loon, Liam",HAM,56,3,30,33,7,45,1
155,RW,17,,,"D'Amato, Daniel",ER,63,18,14,32,15,21,1
156,RW,12,,,"Butler, Cameron",NIAG,66,18,14,32,-45,45,8
157,RW,67,,,"Wong, Nick",KGN,61,14,18,32,-35,16,7
158,D,22,,,"Thompson, Jack",SBY,63,13,19,32,-9,20,3
159,RW,19,,*,"Suni, Oliver",OSH,43,12,20,32,-7,6,6
160,LW,41,,,"Bitten, Sam",SAR,52,12,20,32,-23,27,2
161,D,26,,,"Belanger, Alec",OTT,61,10,22,32,22,20,2
162,D,83,,,"Skinner, Hunter",LDN,62,6,26,32,22,51,1
163,D,29,,,"Gordeev, Fedor",GUE,51,4,28,32,3,40,2
164,D,7,,,"Landry, Kade",HAM,59,4,28,32,-7,43,1
165,D,88,,,"Bahl, Kevin",OTT,54,6,25,31,40,83,1
166,D,8,,,"LeGuerrier, Jacob",SOO,61,6,25,31,4,74,0
167,D,88,,*,"Rafkin, Ruben",WSR,59,4,27,31,3,61,1
168,D,24,,,"Ham, Liam",MISS,57,3,28,31,4,74,0
169,LW,77,,,"Guskov, Matvey",LDN,62,16,14,30,6,48,1
170,C,55,,*,"Johnston, Wyatt",WSR,53,12,18,30,14,8,0
171,D,37,,,"Sebrango, Donovan",KIT,56,6,24,30,0,33,1
172,D,51,,,"Vukojevic, Michael",KIT,63,5,25,30,15,63,0
173,D,16,,,"Grima, Nick",NB,54,3,27,30,-30,61,1
174,LW,18,,,"Philip, Matthew",OS,48,19,10,29,5,22,2
175,LW,92,,,"Keppen, Ethan",FLNT,44,16,13,29,-16,31,4
176,RW,13,,,"Hayes, Avery",HAM,42,15,14,29,-16,8,2
177,LW,19,,,"Duhart, Dalton",SAG,58,14,15,29,4,24,0
178,LW,44,,,"Sellan, Brendan",ER,63,13,16,29,-2,18,3
179,D,55,,,"Hjorth, Eric",SAR,60,12,17,29,-22,26,2
180,D,45,,,"Hunter, Drew",ER,59,3,26,29,-5,34,0
181,C,9,,,"Phibbs, Jack",FLNT,61,16,12,28,13,16,0
182,LW,21,,,"Hutcheson, Nolan",SBY,55,15,13,28,5,41,2
183,RW,27,,,"Hinz, Brady",PBO,58,15,13,28,1,28,4
184,RW,96,,*,"Voit, Ty",SAR,49,8,20,28,-9,6,1
185,D,10,,,"King, Nick",KGN,54,8,20,28,-41,31,3
186,LW,18,,,"Hutton, Dustin",KGN,51,6,22,28,-3,10,0
187,D,12,,,"Moore, Lleyton",OSH,57,6,22,28,3,10,2
188,RW,25,,,"Groulx, Daylon",OTT,60,16,11,27,1,118,4
189,C,76,,,"Moskal, Billy",LDN,58,13,14,27,16,39,1
190,RW,71,,,"Collins, Ty",MISS,59,13,14,27,-6,33,1
191,C,73,,*,"Lockhart, Connor",ER,57,9,18,27,-16,16,4
192,C,26,,,"Baber, Camaryn",SAG,59,9,18,27,1,22,0
193,D,11,,,"Busby, Dennis",FLNT,63,5,22,27,5,33,1
194,D,5,,,"Golden, Jacob",ER,48,4,23,27,-9,8,1
195,D,8,,,"Perrott, Andrew",OS,62,4,23,27,15,66,1
196,D,11,,,"Vallati, Giovanni",OSH,61,1,26,27,10,49,0
197,RW,11,,,"Nurse, Isaac",HAM,31,15,11,26,-1,17,2
198,C,15,,,"Johnston, Alex",SOO,64,12,14,26,1,22,0
199,D,7,,,"Phillips, Isaak",SBY,63,9,17,26,4,27,1
200,LW,6,,,"Hadfield, Victor",BAR,46,8,18,26,4,26,0
201,C,19,,*,"Mysak, Jan",HAM,22,15,10,25,-12,10,4
202,LW,93,,,"Sproule, Emmett",ER,63,12,13,25,-13,10,1
203,C,7,,*,"Goure, Deni",OS,62,11,14,25,-10,4,3
204,RW,16,,,"Stepien, Ryan",OSH,61,9,16,25,-2,22,0
205,D,57,,,"Gravelle, Jake",HAM,57,4,21,25,-2,63,1
206,D,21,,,"Lalonde, Owen",FLNT,57,2,23,25,0,18,0
207,D,27,,,"Serensits, Emmett",SBY,63,1,24,25,11,45,0
208,LW,9,,,"Baker, Dawson",KGN,61,19,5,24,-27,107,3
209,C,28,,,"Bruder, Andrew",NIAG,56,8,16,24,-35,47,2
210,D,25,,,"Loponen, Kalle",SBY,56,6,18,24,5,29,4
211,C,27,,*,"Winterton, Ryan",HAM,53,12,11,23,-15,8,5
212,C,27,,,"Roach, Jacob",GUE,60,12,11,23,-6,44,1
213,RW,91,,,"Hoffmann, Brendan",ER,62,12,11,23,7,52,0
214,C,16,,,"Hill, Theo",SAR,53,11,12,23,-10,42,1
215,RW,11,,*,"Bakanov, Andrei",GUE,55,11,12,23,-19,14,2
216,LW,19,,,"Isaacson, Nick",MISS,59,10,13,23,2,49,1
217,D,58,,,"Beraldo, Adrien",NIAG,50,5,18,23,-32,63,2
218,C,10,,,"Tolnai, Cameron",OTT,52,8,14,22,8,18,1
219,LW,26,,*,"Jackson, Kyle",NB,62,8,14,22,-24,6,1
220,D,75,,,"Penman, Duncan",MISS,61,10,11,21,17,29,1
221,RW,5,,,"Pierce, Emmet",FLNT,55,6,15,21,12,19,1
222,D,42,,,"Supryka, Cameron",HAM,53,3,18,21,1,46,1
223,D,77,,,"Webb, Reilly",SAG,50,2,19,21,18,58,0
224,D,2,,,"Wilson, Hudson",PBO,58,1,20,21,26,36,0
225,D,6,,,"Maier, David",PBO,44,0,21,21,-2,18,0
226,LW,74,,,"Porco, Nicholas",BAR,50,9,11,20,-20,25,3
227,C,21,,,"Portokalis, William",MISS,61,9,11,20,-1,12,0
228,LW,15,,,"Mutter, Navrin",HAM,60,8,12,20,-15,107,0
229,LW,13,,*,"Arcuri, Francesco",KGN,60,7,13,20,-24,14,1
230,D,20,,,"Wainman, Josh",GUE,60,6,14,20,16,38,1
231,C,10,,*,"Samanski, Joshua",OS,54,4,16,20,3,20,0
232,C,11,,*,"Arnsby, Liam",NB,55,4,16,20,-25,63,0
233,RW,25,,,"McDonald, Kyle",WSR,52,13,6,19,-7,20,0
234,C,19,,,"Primeau, Mason",NB,45,11,8,19,-36,33,4
235,RW,29,,*,"Burroughs, Ethan",OS,53,8,11,19,14,6,1
236,D,41,,,"Henry, Kurtis",ER,62,8,11,19,0,71,1
237,LW,19,,*,"Beck, Jack",OTT,56,7,12,19,7,16,0
238,C,13,,*,"Cohen, Elias",ER,57,7,12,19,-10,13,0
239,C,20,,,"Langdon, Isaac",KIT,53,5,14,19,-4,9,0
240,D,7,,,"Rose, Simon",NB,51,4,15,19,-25,50,2
241,D,10,,,"Wale, Holden",KIT,59,4,15,19,5,17,0
242,D,77,,,"Betts, Dakota",NIAG,63,4,15,19,-33,52,1
243,D,28,,,"Okhotyuk, Nikita",OTT,39,3,16,19,30,35,0
244,D,88,,*,"Bjorgvik-Holm, Ole",MISS,57,2,17,19,-2,47,0
245,D,5,,,"Paquette, Jacob",PBO,59,1,18,19,25,37,0
246,C,13,,*,"Kressler, Braeden",FLNT,46,9,9,18,16,18,0
247,RW,22,,*,"Robertson, Tucker",PBO,55,8,10,18,1,20,0
248,D,95,,,"Nolet, Justin",SAR,51,6,12,18,6,10,1
249,LW,14,,*,"Diaco, George",HAM,55,6,12,18,2,18,2
250,D,34,,,"Duff, Jack",ER,63,4,14,18,18,77,0
251,D,44,,,"Peric, Lucas",KGN,58,3,15,18,-34,82,3
252,D,3,,,"Ladd, Grayson",WSR,53,2,16,18,8,6,0
